Index,Company name,Rating,Company type,Sector,Old,Company location,Employees,Reviews
1912,Bharat Biotech International,3.1, 27 years old ,Biotechnology , Hyderabad +24 more,, 1k-5k Employees ,324 Reviews
1913,Unimoni,3.9, 17 years old ,FinTech , Abu Dhabi +88 more,, 1k-5k Employees ,324 Reviews
1914,Andritz,3.8, 27 years old ,Industrial Machinery , Graz +14 more,, 1k-5k Employees ,324 Reviews
1915,RealPage,3.9, 25 years old ,IT Services & Consulting , Richardson +5 more,, 1k-5k Employees ,323 Reviews
1916,IDP Education Limited,4, 28 years old ,EdTech , Melbourne +44 more,, 1k-5k Employees ,323 Reviews
1917,Avery Dennison,4, 28 years old ,501-1k Employees , Glendale +29 more,, Forbes Global 2000 ,323 Reviews
1918,NICE,3.9, Public ,Software Product , 37 years old , Pune +13 more, 1k-5k Employees ,323 Reviews
1919,Trident Hotels,4.1, 89 years old ,Hospitality , New Delhi +20 more,, 1k-5k Employees ,323 Reviews
1920,National Bulk Handling Corporation,4.1, 20 years old ,Agriculture , Mumbai +60 more,, 1k-5k Employees ,323 Reviews
1921,Tata International,3.9, Public ,Import & Export , 61 years old , Mumbai +34 more, 1k-5k Employees ,323 Reviews
1922,Brainvire,4.3, 23 years old ,IT Services & Consulting , Plano +6 more,, 201-500 Employees ,323 Reviews
1923,Bsh Household Appliances Manufacturing,4.2, 56 years old ,Consumer Electronics & Appliances , Munich +35 more,, 1k-5k Employees ,323 Reviews
1924,Reliance Smart,4.1, Public ,Retail , 17 years old , Mumbai +134 more, 5k-10k Employees ,323 Reviews
1925,Pathkind Diagnostics Private Limited,3.9, 7 years old ,Healthcare , Gurgaon/Gurugram +75 more,, 501-1k Employees ,323 Reviews
1926,Jindal Poly Films,3.5, Public ,Packaging , 49 years old , Delhi/NCR +7 more, 1k-5k Employees ,322 Reviews
1927,Vindhya Telelinks,4.1, Public ,Hardware & Networking , 40 years old , Delhi/NCR +46 more, 501-1k Employees ,322 Reviews
1928,Capital Foods,4, 27 years old ,Food Processing , Mumbai +54 more,, 1k-5k Employees ,322 Reviews
1929,Five-star Business Finance,4.3, Public ,NBFC , 39 years old , Chennai +125 more, 5k-10k Employees ,322 Reviews
1930,SPAR Hypermarkets,4.2, 16 years old ,Retail , Bangalore/Bengaluru +23 more,, 1k-5k Employees ,322 Reviews
1931,Thryve Digital,4.1, 7 years old ,IT Services & Consulting , Chennai +3 more,, 1k-5k Employees ,322 Reviews
1932,Uppcl,4, Public ,Power , 24 years old , Lucknow +68 more, 10k-50k Employees ,322 Reviews
1933,Toothsi,2.7, Startup ,Internet , 5 years old , Mumbai +13 more, 501-1k Employees ,322 Reviews
1934,Mars International India,4.2, 29 years old ,Food Processing , McLean +64 more,, 1k-5k Employees ,322 Reviews
1935,DB Schenker,4.2, Conglomerate ,Logistics , 33 years old , Essen +29 more, 501-1k Employees ,321 Reviews
1936,Keihin Fie,4.3, 67 years old ,Auto Components , Pune +13 more,, 1k-5k Employees ,321 Reviews
1937,Evelyn Learning Systems,3.9, Startup ,EdTech , 10 years old , Delhi/NCR +8 more, 201-500 Employees ,321 Reviews
1938,Labournet Services,4, 17 years old ,Non-Profit , Bangalore +48 more,, 51-200 Employees ,321 Reviews
1939,Aksentt Tech Services,4.8, Public ,Telecom , 16 years old , Mumbai +8 more, 1k-5k Employees ,321 Reviews
1940,Technip Energies,4, Noida +23 more,Engineering & Construction ,,, 1k-5k Employees ,321 Reviews
1941,Wissen Technology,4.2, 8 years old ,IT Services & Consulting , Bengaluru +9 more,, 1k-5k Employees ,320 Reviews
1942,Acme Generics LLP,4.5, 18 years old ,Pharma , Baddi +15 more,, 1k-5k Employees ,320 Reviews
1943,North East Small Finance Bank,4, 7 years old ,Banking , Guwahati +55 more,, 1k-5k Employees ,320 Reviews
1944,Amazon Sellers Services,4.3, Bengaluru/Bangalore +45 more,Retail ,,, 11-50 Employees ,320 Reviews
1945,Heavy Engineering Industries & Shipbuilding,4.1, Kuwait City +21 more,Engineering & Construction ,,, 51-200 Employees ,320 Reviews
1946,Jtekt Sona Automotive India,4.1, Public ,Auto Components , 16 years old , Gurgaon/Gurugram +15 more, 51-200 Employees ,320 Reviews
1947,Hindware,4.2, 63 years old ,Building Material , Gurgaon +57 more,, 501-1k Employees ,320 Reviews
1948,Iron Mountain Inc,4.1, 72 years old ,IT Services & Consulting , Boston +32 more,, 1k-5k Employees ,320 Reviews
1949,Karvy Financial Services,3.7, Conglomerate ,Financial Services , 42 years old , Hyderabad/Secunderabad +42 more, 51-200 Employees ,319 Reviews
1950,Wellness Forever Medicare,3.9, 15 years old ,Retail , Mumbai +24 more,, 1k-5k Employees ,319 Reviews
1951,Alight Solutions,3.7, 27 years old ,IT Services & Consulting , Lincolnshire +12 more,, 1k-5k Employees ,319 Reviews
1952,Yokohama,3.8, 106 years old ,Auto Components , tokyo +29 more,, 1k-5k Employees ,319 Reviews
1953,Kia,3.7, Seoul +48 more,Automobile ,,, 1k-5k Employees ,319 Reviews
1954,Waaree Energies,3.7, 34 years old ,Power , Mumbai +30 more,, 51-200 Employees ,319 Reviews
1955,Del Monte Foods,4.1, 137 years old ,Food Processing , San Francisco +43 more,, 201-500 Employees ,319 Reviews
1956,Prime Focus Technologies,3.5, 15 years old ,Software Product , Mumbai +12 more,, 201-500 Employees ,319 Reviews
1957,Prestige Group,4.1, 37 years old ,Real Estate , Bengaluru +20 more,, 1k-5k Employees ,318 Reviews
1958,Emaar MGF,3.8, Public ,Real Estate , 18 years old , Delhi/NCR +15 more, 501-1k Employees ,318 Reviews
1959,Flamingo Pharmaceuticals,3.3, Public ,Pharma , 38 years old , Mumbai +9 more, 501-1k Employees ,318 Reviews
1960,Prestige Group,4.1, 37 years old ,Real Estate , Bengaluru +20 more,, 1k-5k Employees ,318 Reviews
1961,Ather Energy,4, Startup ,Automobile , 10 years old , Bangalore +22 more, 1k-5k Employees ,318 Reviews
1962,InternEzy,5, Erode +5 more,EdTech ,,, 51-200 Employees ,318 Reviews
1963,Mavenir Systems,3.8, 6 years old ,Software Product , Richardson +13 more,, 1k-5k Employees ,318 Reviews
1964,Caratlane Trading,4.4, 15 years old ,Jewellery , Chennai +34 more,, 1k-5k Employees ,318 Reviews
1965,First Flight Couriers,4.1, 35 years old ,Logistics , Mumbai +73 more,, 1k-5k Employees ,317 Reviews
1966,RenewBuy,3.7, Startup ,Insurance , 9 years old , Gurgaon +64 more, 1k-5k Employees ,317 Reviews
1967,Suprajit Engineering,3.6, Public ,Auto Components , 38 years old , Bangalore/Bengaluru +25 more, 501-1k Employees ,317 Reviews
1968,Cotiviti,3.8, 44 years old ,Analytics & KPO , South Jordan +4 more,, 1k-5k Employees ,317 Reviews
1969,Nissin Brake,4.1, 16 years old ,Auto Components , Nagano +12 more,, 201-500 Employees ,317 Reviews
1970,Virtual Employee,3.6, 16 years old ,Recruitment , Noida +13 more,, 1k-5k Employees ,317 Reviews
1971,Consulting Engineers Group,4.3, Public ,Engineering & Construction , 39 years old , Jaipur +52 more, 1k-5k Employees ,317 Reviews
1972,Ssipl Lifestyle,3.8, 29 years old ,Retail , Delhi/NCR +39 more,, 1k-5k Employees ,316 Reviews
1973,Vectus Industries,4.1, 19 years old ,Petrochemicals , Noida +48 more,, 1k-5k Employees ,316 Reviews
1974,PayU Payments,3.8, Conglomerate ,FinTech , 21 years old , Amsterdam +12 more, 1k-5k Employees ,316 Reviews
1975,Kunal Structure,3.7, 17 years old ,Real Estate , Ahmedabad +23 more,, 201-500 Employees ,316 Reviews
1976,Toyota,4.3, 86 years old ,Automobile , Toyota City +77 more,, 5k-10k Employees ,316 Reviews
1977,Transrail Lighting,3.9, 15 years old ,Electronics Manufacturing , Mumbai +56 more,, 501-1k Employees ,316 Reviews
1978,Wood Group,4.1, 111 years old ,Oil & Gas , Aberdeen City +21 more,, 51-200 Employees ,316 Reviews
1979,Bhilosa Industries,3.8, 35 years old ,Fashion & Textile , Mumbai +8 more,, 5k-10k Employees ,315 Reviews
1980,UDAAN CARGO & LOGISTICS,4.1, 8 years old ,Logistics , New Delhi +72 more,, 201-500 Employees ,315 Reviews
1981,Inspirisys Solution,3.9, Public ,IT Services & Consulting , 32 years old , Chennai +39 more, 1k-5k Employees ,315 Reviews
1982,Evolve Technologies & Services,4.1, 32 years old ,Recruitment , Pune +47 more,, 201-500 Employees ,314 Reviews
1983,Einfochips,3.5, 29 years old ,IT Services & Consulting , San Jose +9 more,, 1k-5k Employees ,314 Reviews
1984,Torry Harris Integration Solutions,4, 25 years old ,IT Services & Consulting , Perth Amboy +6 more,, 1k-5k Employees ,314 Reviews
1985,Triumphant Institute of Management Education,3.7, 31 years old ,Education & Training , Hyderabad +67 more,, 201-500 Employees ,314 Reviews
1986,Telesonic Networks,3.9, Public ,Telecom , 14 years old , Delhi/NCR +41 more, 5k-10k Employees ,314 Reviews
1987,Serum Institute of India,4.2, 57 years old ,Pharma , Pune +14 more,, 1k-5k Employees ,314 Reviews
1988,Sapphire Foods India,3.9, 8 years old ,Retail , Mumbai +45 more,, 5k-10k Employees ,314 Reviews
1989,Zepto,3.7, Startup ,Internet , 2 years old , Mumbai +19 more, 501-1k Employees ,314 Reviews
1990,McCain Foods,4.3, 27 years old ,Food Processing , Toronto +50 more,, 501-1k Employees ,314 Reviews
1991,Omax Autos,3.7, Public ,Auto Components , 40 years old , Gurgaon/Gurugram +16 more, 201-500 Employees ,313 Reviews
1992,Axiscades,3.2, Public ,Industrial Machinery , 33 years old , Bangalore/Bengaluru +7 more, 1k-5k Employees ,313 Reviews
1993,Vimta Labs,3.6, Public ,Healthcare , 39 years old , Hyderabad/Secunderabad +22 more, 1k-5k Employees ,312 Reviews
1994,Varuna Integrated Logistics,3.8, 27 years old ,Logistics , Gurgaon/Gurugram +47 more,, 1k-5k Employees ,312 Reviews
1995,Hinduja Housing Finance,3.9, 8 years old ,NBFC , Chennai +95 more,, 1k-5k Employees ,312 Reviews
1996,V.S.T Tillers Tractors,3.6, Public ,Industrial Machinery , 56 years old , Bangalore/Bengaluru +35 more, 201-500 Employees ,312 Reviews
1997,Portea Medical,3.6, Startup ,Healthcare , 10 years old , Bangalore +25 more, 501-1k Employees ,312 Reviews
1998,DFM Foods,4, Public ,Food Processing , 40 years old , Delhi/NCR +51 more, 501-1k Employees ,312 Reviews
1999,ByteDance,4.3, Startup ,Internet , 11 years old , Shanghai +12 more, 1k-5k Employees ,312 Reviews
2000,NxtWave,4.1, Startup ,EdTech , 3 years old , Hyderabad +8 more, 1k-5k Employees ,312 Reviews
2001,National Payments Corporation of India,3.5, 18 years old ,FinTech , Mumbai +10 more,, 501-1k Employees ,311 Reviews
2002,Lanco Infratech,4.5, Public ,Engineering & Construction , 37 years old , Gurgaon/Gurugram +28 more, 5k-10k Employees ,311 Reviews
2003,Blackrock,4.1, Forbes Global 2000 ,Investment Banking / Venture Capital / Private Equity , 19 years old , New York City +10 more, 1k-5k Employees ,311 Reviews
2004,Paharpur Cooling Towers,3.9, 75 years old ,Industrial Machinery , Kolkata +37 more,, 1k-5k Employees ,311 Reviews
2005,Rao IIT Academy,3.4, 9 years old ,Education & Training , Mumbai +17 more,, 11-50 Employees ,311 Reviews
2006,ABCI Infrastructures,3.6, 30 years old ,Engineering & Construction , Kolkata +42 more,, 51-200 Employees ,311 Reviews
2007,Hema Engineering Industries,3.6, 39 years old ,Auto Components , Gurgaon/Gurugram +21 more,, 501-1k Employees ,311 Reviews
2008,Hero Cycles,3.4, Public ,Automobile , 67 years old , Gurgaon/Gurugram +33 more, 1k-5k Employees ,311 Reviews
2009,ITSource Technologies,3.2, Public ,IT Services & Consulting , 25 years old , Mumbai +26 more, 201-500 Employees ,311 Reviews
2010,Fujiyama Power System,3.5, 27 years old ,Power , Delhi/NCR +40 more,, 51-200 Employees ,311 Reviews
2011,Suroj Buildcon,4, 10 years old ,Engineering & Construction , Pune +28 more,, 1k-5k Employees ,311 Reviews
2012,SABIC,4.1, 47 years old ,Chemicals , Riyadh +16 more,, 1k-5k Employees ,311 Reviews
2013,Descon Engineering,4.1, 46 years old ,Engineering & Construction , Lahore +19 more,, 201-500 Employees ,310 Reviews
2014,CMC,4.1, Public ,Education & Training , 55 years old , Bhopal +49 more, 10k-50k Employees ,310 Reviews
2015,Qcon,4.4, 48 years old ,Engineering & Construction , Doha +22 more,, 5k-10k Employees ,310 Reviews
2016,Zycus Infotech,3.4, 26 years old ,Software Product , Princeton +5 more,, 1k-5k Employees ,310 Reviews
2017,Voyants Solutions,3.7, 19 years old ,Engineering & Construction , Gurgaon +54 more,, 501-1k Employees ,310 Reviews
2018,SS Supply Chain Solutions,4.4, 11 years old ,IT Services & Consulting , Gurgaon +33 more,, 201-500 Employees ,309 Reviews
2019,Mecon,4.1, State ,Metals & Mining , 64 years old , Ranchi +37 more, 1k-5k Employees ,309 Reviews
2020,Aquasub Engineering,3.9, 40 years old ,Industrial Machinery , Bangalore/Bengaluru +10 more,, 5k-10k Employees ,309 Reviews
2021,RPG Life Sciences,4.1, Public ,Pharma , 30 years old , Mumbai +28 more, 1k-5k Employees ,309 Reviews
2022,India Post,3.9, Public ,Government , 169 years old , Mysore/Mysuru +127 more, 1 Lakh+ Employees ,309 Reviews
2023,Penna Cement Industries,4.3, 32 years old ,Building Material , Hyderabad/Secunderabad +39 more,, 1k-5k Employees ,309 Reviews
2024,Soma Enterprises,4.1, 26 years old ,Engineering & Construction , Hyderabad/Secunderabad +45 more,, 1k-5k Employees ,309 Reviews
2025,Bahwan CyberTek,4, 24 years old ,IT Services & Consulting , Chennai +12 more,, 1k-5k Employees ,309 Reviews
2026,Systra Consulting,4, 66 years old ,Engineering & Construction , Faridabad +30 more,, 1k-5k Employees ,308 Reviews
2027,Expertrons,4, Startup ,Education & Training , 4 years old , Mumbai +6 more, 201-500 Employees ,308 Reviews
2028,Online Legal India,4.8, Startup ,Legal , 4 years old , Kolkata +4 more, 501-1k Employees ,308 Reviews
2029,Vcare Trichology,4, 19 years old ,Healthcare , Chennai +44 more,, 201-500 Employees ,308 Reviews
2030,Amri Hospital,4.2, 27 years old ,Healthcare , Kolkata +10 more,, 10k-50k Employees ,307 Reviews
2031,Sterling,4, 56 years old ,Healthcare , Mumbai +37 more,, 5k-10k Employees ,307 Reviews
2032,Kokilaben Dhirubhai Ambani Hospital,3.9, 14 years old ,Healthcare , Mumbai +13 more,, 1k-5k Employees ,307 Reviews
2033,Grindwell Norton,4.1, Public ,Industrial Machinery , 82 years old , Mumbai +29 more, 501-1k Employees ,307 Reviews
2034,Kataria Automobiles,3.8, 33 years old ,Automobile , Ahmedabad +16 more,, 201-500 Employees ,307 Reviews
2035,Miles Education - CPA & CMA Review (Hyderabad),4.3, 12 years old ,EdTech , Bengaluru/Bangalore +13 more,, 201-500 Employees ,307 Reviews
2036,SLMG Beverages,3.9, Lucknow +35 more,Beverage ,,, 51-200 Employees ,307 Reviews
2037,Pratham Education Foundation,4.3, 28 years old ,Education & Training , Delhi/NCR +68 more,, 1k-5k Employees ,307 Reviews
2038,Cashify,3.7, Startup ,Internet , 10 years old , Gurgaon +32 more, 501-1k Employees ,307 Reviews
2039,Ppap Automotive,3.9, Public ,Auto Components , 45 years old , Noida +11 more, 1k-5k Employees ,306 Reviews
2040,NCCCL,3.6, 77 years old ,Engineering & Construction , Mumbai +22 more,, 1k-5k Employees ,306 Reviews
2041,Matrix Business Services,3.6, 20 years old ,Analytics & KPO , Chennai +20 more,, 1k-5k Employees ,306 Reviews
2042,Competent Software,3.7, 31 years old ,IT Services & Consulting , Delhi/NCR +7 more,, 1k-5k Employees (Global) ,306 Reviews
2043,Indofil Industries,4.3, 30 years old ,Agro Chemicals , Mumbai +34 more,, 501-1k Employees ,306 Reviews
2044,Safari Industries India,4.1, Public ,Fashion & Textile , 49 years old , Mumbai +49 more, 201-500 Employees ,306 Reviews
2045,Ppap Automotive,3.9, Public ,Auto Components , 45 years old , Noida +11 more, 1k-5k Employees ,306 Reviews
2046,TVS Eurogrip,3.7, Public ,Auto Components , 41 years old , Madurai +41 more, 1k-5k Employees ,306 Reviews
2047,Tractebel,4.2, 30 years old ,Engineering & Construction , Chakkarpur +55 more,, 501-1k Employees ,305 Reviews
2048,Hafele,4.3, 100 years old ,Furniture & Furnishing , Nagold +32 more,, 1k-5k Employees ,305 Reviews
2049,Mikuni,4.1, 100 years old ,Auto Components , Sotokanda +11 more,, 201-500 Employees ,305 Reviews
2050,Ramkrishna Forgings,3.9, Public ,Railways , 42 years old , Kolkata +14 more, 1k-5k Employees ,305 Reviews
2051,Alfanar,4.3, 47 years old ,Electronics Manufacturing , Riyadh +27 more,, 201-500 Employees ,305 Reviews
2052,Honda Logistics,3.8, 18 years old ,Logistics , Alwar +20 more,, 201-500 Employees ,305 Reviews
2053,Navin Fluorine International,4.1, Public ,Chemicals , 56 years old , Mumbai +10 more, 501-1k Employees ,305 Reviews
2054,NU Vista,4.3, Public ,Building Material , 49 years old , Kolkata +54 more, 1k-5k Employees ,305 Reviews
2055,Nivea,4.2, 141 years old ,Beauty & Personal Care , Hamburg +47 more,, 501-1k Employees ,305 Reviews
2056,GD Goenka Public School,3.8, 29 years old ,Education & Training , Gurgaon/Gurugram +45 more,, 201-500 Employees ,305 Reviews
2057,Nash Industries,3.7, 52 years old ,Industrial Machinery , Bangalore/Bengaluru +10 more,, 501-1k Employees ,305 Reviews
2058,Subex,3.5, Public ,Telecom , 31 years old , Bangalore/Bengaluru +6 more, 201-500 Employees ,304 Reviews
2059,Turtlemint,3.8, Startup ,Internet , 8 years old , Mumbai +65 more, 1k-5k Employees ,304 Reviews
2060,Gulf Oil Lubricants,4.1, Public ,Chemicals / Agri Inputs , 30 years old , Mumbai +56 more, 501-1k Employees ,304 Reviews
2061,IIC Technologies,3.8, Public ,IT Services & Consulting , 29 years old , Hyderabad/Secunderabad +19 more, 1k-5k Employees ,304 Reviews
2062,Samsung C&T,4.2, Forbes Global 2000 ,Engineering & Construction , 85 years old , Suwon-Si +19 more, 501-1k Employees ,304 Reviews
2063,Turtlemint,3.8, Startup ,Internet , 8 years old , Mumbai +65 more, 1k-5k Employees ,304 Reviews
2064,Porter,3.9, Startup ,Internet , 9 years old , Bangalore +20 more, 1k-5k Employees ,304 Reviews
2065,Gupta Power Infrastructure,3.2, 62 years old ,Power , Bhubaneswar +34 more,, 501-1k Employees ,303 Reviews
2066,Zealous Services,3.3, 16 years old ,BPO , Chennai +5 more,, 501-1k Employees ,303 Reviews
2067,Welspun Corp,3.9, Fortune India 500 ,Iron & Steel , 38 years old , Mumbai +16 more, 5k-10k Employees ,303 Reviews
2068,Satyam Venture Engineering Services,4.1, 23 years old ,Engineering & Construction , Hyderabad/Secunderabad +13 more,, 501-1k Employees ,303 Reviews
2069,Vidal Health Tpa,3.7, 13 years old ,Insurance , Bangalore +36 more,, 201-500 Employees ,303 Reviews
2070,JBS Enterprises,3.6, 36 years old ,Electronics Manufacturing , Mumbai +53 more,, 51-200 Employees ,303 Reviews
2071,R.S. Infraprojects,4, 18 years old ,Real Estate , Noida +38 more,, 501-1k Employees ,302 Reviews
2072,Toyoda Gosei Minda,4.2, 15 years old ,Auto Components , Aichi +16 more,, 51-200 Employees ,302 Reviews
2073,UCAL Fuel Systems,3.8, Public ,Auto Components , 38 years old , Chennai +15 more, 501-1k Employees ,302 Reviews
2074,Surin Automotive,3.5, 49 years old ,Auto Components , Bangalore/Bengaluru +17 more,, 501-1k Employees ,302 Reviews
2075,MarketStar,3.4, Ogden +7 more,Marketing & Advertising ,,, 1k-5k Employees ,302 Reviews
2076,Audi,3.9, 114 years old ,Automobile , Ingolstadt +48 more,, 201-500 Employees ,302 Reviews
2077,CSG International,4.2, 29 years old ,IT Services & Consulting , Englewood +5 more,, 1k-5k Employees ,302 Reviews
2078,URC Construction,3.5, 67 years old ,Engineering & Construction , Chennai +27 more,, 201-500 Employees ,302 Reviews
2079,DATAMARK BPO SERVICE (P) LTD,3.9, MNC ,BPO , 34 years old , El Paso +7 more, 1k-5k Employees ,302 Reviews
2080,DesignTech Systems,3.5, 25 years old ,IT Services & Consulting , Pune +27 more,, 501-1k Employees ,301 Reviews
2081,Chemplast Sanmar,3.9, Fortune India 500 ,Building Material , 56 years old , Chennai +14 more, 501-1k Employees ,301 Reviews
2082,Maharashtra Seamless,3.6, Public ,Building Material , 35 years old , Gurgaon/Gurugram +13 more, 1k-5k Employees ,301 Reviews
2083,STUP Consultants,3.9, 60 years old ,Engineering & Construction , Mumbai +45 more,, 1k-5k Employees ,301 Reviews
2084,Brembo Brake India,4.3, 18 years old ,Auto Components , Stezzano +11 more,, 201-500 Employees ,301 Reviews
2085,Anmol Industries,4, Public ,Food Processing , 29 years old , Kolkata +47 more, 501-1k Employees ,301 Reviews
2086,ManipalCigna Health Insurance,4, 11 years old ,Insurance , Mumbai +78 more,, 1k-5k Employees ,301 Reviews
2087,MAYORA,3.8, 15 years old ,Beverage , Hyderabad +58 more,, 1k-5k Employees ,301 Reviews
2088,Powerweave,3.5, 22 years old ,BPO , Mumbai +4 more,, 501-1k Employees ,301 Reviews
2089,Keysight Technologies,4.1, Forbes Global 2000 ,Electronics Manufacturing , 9 years old , Santa Rosa +8 more, 1k-5k Employees ,300 Reviews
2090,Ben Franklin Opticians,4.2, 15 years old ,Medical Equipment , Hyderabad/Secunderabad +87 more,, 201-500 Employees ,300 Reviews
2091,Enco Engineers Combine,3.8, 40 years old ,Auto Components , Gurgaon/Gurugram +9 more,, 51-200 Employees ,300 Reviews
2092,Railtel Corporation Of India,3.8, Public ,Hardware & Networking , 23 years old , Gurgaon/Gurugram +58 more, 1k-5k Employees ,300 Reviews
2093,Glenmark Life Sciences,3.7, Public ,Pharma , 46 years old , Mumbai +12 more, 201-500 Employees ,300 Reviews
2094,Legrand,3.7, Forbes Global 2000 ,Electrical Equipment , 163 years old , Limoges +41 more, 1k-5k Employees ,299 Reviews
2095,ERA Group,3.6, Public ,Power , 33 years old , Mumbai +36 more, 1k-5k Employees ,299 Reviews
2096,Pepperfry,3.5, 12 years old ,Internet , Mumbai +29 more,, 1k-5k Employees ,298 Reviews
2097,Royal Orchid Hotels,4, Public ,Hospitality , 37 years old , Bangalore/Bengaluru +36 more, 1k-5k Employees ,298 Reviews
2098,Teleysia Networks,3.7, 15 years old ,Telecom , Ahmedabad +27 more,, 201-500 Employees ,298 Reviews
2099,Infrastructure Leasing & Financial Services,4, 36 years old ,Engineering & Construction , Mumbai +65 more,, 501-1k Employees ,298 Reviews
2100,L&T Heavy Engineering,4.5, 2023 years old ,Engineering & Construction , Hazira +12 more,, 1k-5k Employees ,298 Reviews
2101,Worldline Global Services,3.9, 49 years old ,IT Services & Consulting , Bezons +21 more,, 1k-5k Employees ,298 Reviews
2102,Ventura Securities,4, Public ,Financial Services , 29 years old , Thane +39 more, 1k-5k Employees ,298 Reviews
2103,Sleek International,3.8, 30 years old ,Furniture & Furnishing , Mumbai +74 more,, 501-1k Employees ,297 Reviews
2104,Metalman Auto,3.9, 37 years old ,Auto Components , Gurgaon/Gurugram +18 more,, 1k-5k Employees ,297 Reviews
2105,Aker Solutions,4, 182 years old ,Oil & Gas , Fornebu +5 more,, 1k-5k Employees ,297 Reviews
2106,PK,3.8, 19 years old ,IT Services & Consulting , Beaverton +6 more,, 1k-5k Employees ,297 Reviews
2107,Montecarlo Construction,4.1, 28 years old ,Engineering & Construction , Ahmedabad +56 more,, 1k-5k Employees ,297 Reviews
2108,Axa XL,3.7, 37 years old ,Insurance , Hamilton +4 more,, 1k-5k Employees ,297 Reviews
2109,Zolo,3.6, Startup ,Internet , 8 years old , Bangalore +16 more, 501-1k Employees ,296 Reviews
2110,Insolutions Global,3.6, 19 years old ,FinTech , Mumbai +18 more,, 1k-5k Employees ,296 Reviews
2111,Bharat Fritz Werner,3.8, 62 years old ,Industrial Machinery , Bangalore/Bengaluru +11 more,, 501-1k Employees ,296 Reviews
2112,Aramex,3.7, 41 years old ,Logistics , Dubai +47 more,, 1k-5k Employees ,296 Reviews
2113,WayCool Foods and Products,3.7, 8 years old ,FMCG , Chennai +28 more,, 501-1k Employees ,296 Reviews
2114,ITI,3.9, Central ,Hardware & Networking , 75 years old , Bangalore/Bengaluru +61 more, 501-1k Employees ,296 Reviews
2115,Indostar Capital Finance,4.1, Public ,NBFC , 12 years old , Mumbai +133 more, 1k-5k Employees ,296 Reviews
2116,IBM Daksh,4,,Gurgaon/Gurugram +13 more,,,,296 Reviews
2117,Air India Air Transport Services,3.4, 20 years old ,Facility Management Services , Delhi/NCR +42 more,, 10k-50k Employees (Global) ,296 Reviews
2118,Senco Gold,4.2, 29 years old ,Jewellery , Kolkata +51 more,, 1k-5k Employees ,296 Reviews
2119,Rusan Pharma,3.4, 29 years old ,Pharma , Mumbai +13 more,, 501-1k Employees ,296 Reviews
2120,Xdbs,3.3, 11 years old ,Marketing & Advertising , Redwood City +3 more,, 1k-5k Employees ,295 Reviews
2121,Lambda Therapeutic Research,4.3, 24 years old ,Clinical Research , Ahmedabad +5 more,, 501-1k Employees ,295 Reviews
2122,Kirloskar Toyota Textile Machinery,4.5, 28 years old ,Industrial Machinery , Bangalore/Bengaluru +7 more,, 201-500 Employees ,295 Reviews
2123,1 India Family Mart,3.8, Startup ,Retail , 11 years old , Gurgaon +58 more, 201-500 Employees ,295 Reviews
2124,Essar Group,3.9, Public ,Engineering & Construction , 54 years old , Mumbai +37 more, 10k-50k Employees ,295 Reviews
2125,Magic Bus India Foundation,3.9, 24 years old ,Non-Profit , Mumbai +44 more,, 1k-5k Employees ,294 Reviews
2126,Markets and Markets,3.5, 13 years old ,Analytics & KPO , Pune +7 more,, 501-1k Employees ,294 Reviews
2127,Toshiba JSW Power Systems,4.4, Conglomerate ,Power , 10 years old , Chiyoda-ku +12 more, 501-1k Employees ,294 Reviews
2128,Morepen Laboratories,3.8, Public ,Pharma , 39 years old , Baddi +27 more, 1k-5k Employees ,294 Reviews
2129,Havmor Ice Cream,4.1, 79 years old ,Food Processing , Ahmedabad +47 more,, 501-1k Employees ,294 Reviews
2130,Sanmina Sci,4, 43 years old ,Electronics Manufacturing , Sanjose +9 more,, 201-500 Employees ,294 Reviews
2131,Texmaco Rail and Engineering,3.9, 25 years old ,Railways , Kolkata +36 more,, 1k-5k Employees ,294 Reviews
2132,Gainwell Commosales,4.1, 79 years old ,Industrial Machinery , Kolkata +50 more,, 1k-5k Employees ,294 Reviews
2133,Trianz,3.6, 17 years old ,IT Services & Consulting , Santa Clara +3 more,, 1k-5k Employees ,293 Reviews
2134,Muthoottu Mini Financiers,3.6,,Hyderabad/Secunderabad +63 more,,,,293 Reviews
2135,Electrosteel Casting,3.8, Public ,Building Material , 68 years old , Kolkata +15 more, 1k-5k Employees ,293 Reviews
2136,RedBus,4.4, 17 years old ,Internet , Bangalore +15 more,, 1k-5k Employees ,293 Reviews
2137,BYJU'S Exam Prep,4.1, Startup ,EdTech , 8 years old , Noida +23 more, 501-1k Employees ,293 Reviews
2138,Koch Business Solutions,3.7, 83 years old ,Oil & Gas , Wichita +4 more,, 1k-5k Employees ,293 Reviews
2139,Dineshchandra R Agarwal Infracon,4, 51 years old ,Engineering & Construction , Ahmedabad +46 more,, 11-50 Employees ,293 Reviews
2140,Dineshchandra R Agarwal Infracon,4, 51 years old ,Engineering & Construction , Ahmedabad +46 more,, 11-50 Employees ,293 Reviews
2141,Red Hat,4.4, 30 years old ,IT Services & Consulting , Pune +7 more,, 1k-5k Employees ,292 Reviews
2142,Diffusion Engineers,4.3, 40 years old ,Industrial Machinery , Nagpur +31 more,, 201-500 Employees ,292 Reviews
2143,ThoughtWorks,4.1, 30 years old ,IT Services & Consulting , Bengaluru/Bangalore +10 more,, 1k-5k Employees ,292 Reviews
